714,18,714,46,759,44,756,13,اینجا
672,24,672,49,710,44,709,20,عطر
775,46,777,69,759,69,755,51,به
727,50,730,71,757,73,754,49,دل
665,48,670,73,727,70,726,46,136638
641,54,635,78,662,73,663,53,نفر
570,50,571,81,631,81,639,56,نشسته
597,30,597,46,662,45,665,25,چای احمد
184,75,183,87,203,86,205,74,جایی
165,74,162,87,183,87,183,77,برای
162,98,164,86,203,89,204,100,بهترین ها
90,88,91,107,117,105,116,89,کالا
153,102,154,84,117,90,117,106,دیجی
714,172,782,169,785,183,713,188,22050100
741,153,741,166,783,163,781,150,####
