123,172,117,195,177,222,183,190,بیمه
122,168,110,205,14,180,30,144,تعاون
380,350,380,350,378,362,389,362,68
396,351,397,362,390,361,390,351,ج
412,362,412,352,397,352,398,362,325
424,353,412,355,412,362,422,362,66
646,362,647,368,670,370,670,362,###
1152,274,1155,329,1118,340,1120,295,امام
1122,277,1118,310,1075,349,1062,308,خمینی
1122,178,1122,199,1155,182,1151,166,دبیرستان
1120,181,1122,193,1106,197,1110,184,امام
1111,172,1112,184,1102,214,1085,191,خمینی
1126,355,1125,338,1156,336,1155,356,انسانی
