698,22,699,71,777,71,774,25,روحش
647,17,655,67,698,66,695,17,شاد
633,31,631,71,652,71,647,35,و
563,25,565,68,629,70,629,19,یادش
483,17,484,67,561,71,561,18,گرامی
423,85,420,105,441,105,443,85,اگر
401,83,400,103,419,106,422,86,چه
363,82,362,105,399,106,400,82,اندوه
320,81,318,107,362,109,363,85,بزرگی
303,85,303,105,317,107,318,89,بر
273,80,274,105,300,105,301,82,قلب
257,79,258,101,273,102,273,88,ما
209,83,208,108,257,108,256,82,سنگینی
186,86,185,105,207,107,208,89,می
159,85,160,102,183,103,185,83,کند
465,126,464,147,480,148,482,126,از
434,124,436,144,462,144,462,126,خدا
411,129,412,148,435,147,433,129,می
363,125,363,148,411,149,410,124,خواهیم
348,126,347,149,362,149,362,128,او
330,124,332,148,347,149,347,126,را
313,128,311,148,331,149,329,129,در
280,122,281,145,309,148,312,125,سایه
238,124,237,145,280,148,279,127,رحمت
169,123,168,151,235,151,235,127,جاویدانش
140,123,138,153,168,152,168,123,قرار
106,123,107,146,139,147,140,126,دهد
441,171,442,189,457,189,453,174,و
425,166,428,186,442,187,440,170,ما
410,166,411,190,426,192,425,170,را
379,170,379,191,411,191,409,169,برای
339,167,340,191,378,190,377,169,دیدن
308,166,308,191,338,192,338,169,جای
271,166,269,190,306,191,308,165,خالی
247,165,246,190,268,191,270,165,آن
214,166,214,190,244,191,247,167,عزیز
175,166,175,190,213,189,214,168,شکیب
142,166,140,187,174,190,174,166,سازد
