564,17,564,34,585,17,585,34,10
520,65,520,95,575,65,575,95,خدمات
489,65,489,95,515,65,515,95,مهم
435,65,435,95,484,65,484,95,دیگری
376,65,376,95,430,65,430,95,همچون
341,65,341,95,371,65,371,95,ثبت
274,65,274,95,336,65,336,95,شرکت‌ها
253,65,253,95,269,65,269,95,را
211,65,211,95,248,65,248,95,انجام
147,65,147,95,206,65,206,95,می‌دهیم.
544,100,544,130,570,100,570,130,وی
521,100,521,130,534,100,534,130,به
465,100,465,130,511,100,511,130,اهمیت
425,100,425,130,455,100,455,130,ثبت
353,100,353,130,415,100,415,130,شرکت‌ها
305,100,305,130,343,100,343,130,اشاره
265,100,265,130,295,100,295,130,کرد
244,100,244,130,255,100,255,130,و
196,100,196,130,234,100,234,130,گفت:
163,100,163,130,186,100,186,130,یک
106,100,106,130,153,100,153,130,شرکت
45,100,45,130,86,100,86,130,زمانی
515,135,515,165,575,135,575,165,می‌تواند
455,135,455,165,510,135,510,165,وجاهت
403,135,403,165,450,135,450,165,قانونی
368,135,368,165,398,135,398,165,پیدا
333,135,333,165,363,135,363,165,کند
307,135,307,165,328,135,328,165,که
283,135,283,165,302,135,302,165,در
248,135,248,165,278,135,278,165,ثبت
207,135,207,165,243,135,243,165,اسناد
189,135,189,165,202,135,202,165,به
154,135,154,165,184,135,184,165,ثبت
104,135,104,165,149,135,149,165,رسیده
67,135,67,165,99,135,99,165,باشد
51,135,51,165,62,135,62,165,و
546,170,546,200,573,170,573,200,پس
524,170,524,200,539,170,539,200,از
495,170,495,200,517,170,517,200,آن
454,170,454,200,488,170,488,200,وارد
407,170,407,200,447,170,447,200,فضای
360,170,360,200,400,170,400,200,کسب
342,170,342,200,353,170,353,200,و
306,170,306,200,335,170,335,200,کار
241,170,241,200,299,170,299,200,می‌شود،
179,170,179,200,234,170,234,200,بنابراین
123,170,123,200,172,170,172,200,باتوجه
103,170,103,200,116,170,116,200,به
45,170,45,200,93,170,93,200,اهمیتی
554,205,554,235,575,205,575,235,که
487,205,487,235,549,205,549,235,شرکت‌ها
463,205,463,235,482,205,482,235,در
426,205,426,235,458,205,458,235,ارتقا
390,205,390,235,421,205,421,235,رتبه
345,205,345,235,385,205,385,235,فضای
300,205,300,235,340,205,340,235,کسب
284,205,284,235,295,205,295,235,و
250,205,250,235,279,205,279,235,کار
201,205,201,235,245,205,245,235,کشور
177,205,177,235,196,205,196,235,در
146,205,146,235,172,205,172,235,دنیا
95,205,95,235,141,205,141,235,دارند،
51,205,51,235,90,205,90,235,تلاش
521,240,521,270,575,240,575,270,می‌کنیم
503,240,503,270,516,240,516,270,تا
479,240,479,270,498,240,498,270,در
436,240,436,270,474,240,474,270,اسرع
396,240,396,270,431,240,431,270,وقت
332,240,332,270,391,240,391,270,اقدامات
281,240,281,270,327,240,327,270,مربوط
