1237,329,1240,365,1272,361,1276,323,گانی
1185,330,1192,363,1241,362,1235,325,سپید
1131,327,1139,369,1188,366,1180,322,شبنم
1187,386,1196,423,1269,435,1272,385,صادرات
1120,423,1139,481,1204,477,1205,422,۳۱۳
1121,285,819,293,839,486,1147,426,ارزان
804,298,796,458,679,457,712,306,تر
656,282,667,471,528,466,557,287,از
527,281,501,479,148,477,156,287,ارزان
91,289,77,354,0,359,3,298,کلی
29,359,3,421,100,421,108,378,۸۰۰
139,421,139,478,5,486,21,423,۶۶۵
660,506,660,522,741,522,740,499,comline
745,499,743,523,824,521,824,501,comline
