490,264,492,334,539,319,546,260,10
306,726,331,790,236,832,231,758,چی توز
400,745,417,794,356,822,343,769,چی توز
172,792,195,856,66,911,66,822,چی توز
204,353,191,430,279,423,291,366,###
3,430,91,431,93,372,6,359,###
76,12,206,70,208,14,126,3,###
109,72,111,97,159,109,161,81,فلفلی
38,64,38,87,97,96,98,73,Chili
43,117,39,137,101,146,104,126,###
156,137,155,155,103,145,105,126,###
67,158,118,171,126,153,72,139,Chips
15,487,23,513,61,503,55,476,کچاپ
148,465,137,486,222,497,228,472,Ketchup
257,460,262,481,236,495,231,471,کچاپ
342,435,380,430,382,469,344,478,توز
490,439,519,432,513,473,489,473,توز
534,435,520,461,545,466,562,440,توز
43,970,113,952,112,981,53,998,###
154,924,164,942,130,972,119,945,نمکی
435,752,465,729,475,784,445,795,توز
467,718,493,698,491,745,474,754,توز
283,861,305,839,312,861,292,884,نمکی
147,521,150,538,236,538,243,521,###
171,559,217,557,217,542,175,542,###
243,931,242,949,332,911,332,893,###
279,961,320,938,318,920,273,938,###
231,884,233,903,281,891,278,871,Salty
544,932,555,964,598,934,584,907,چی توز
